NT_GER,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26
MEDIA,Q01A,Q02D,Q03A,Q04C,Q05D,Q06B,Q07G,Q08B,Q09E,Q10E,Q11A,Q12F,Q13A,Q14A,Q15C,Q16_14,Q17A,Q18A,Q19B,Q20C,Q21A,Q22C,Q23B,Q24E,Q25A,Q26I
BAIXA,Q01A,Q02D,Q03A,Q04C,Q05C,Q06C,Q07G,Q08A,Q09E,Q10A,Q11A,Q12C,Q13A,Q14A,Q15A,Q16_14,Q17A,Q18A,Q19A,Q20A,Q21B,Q22E,Q23C,Q24D,Q25H,Q26A
MEDIA,Q01B,Q02A,Q03A,Q04D,Q05B,Q06B,Q07H,Q08B,Q09B,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16_14,Q17A,Q18A,Q19B,Q20A,Q21B,Q22C,Q23C,Q24E,Q25A,Q26A
MEDIA,Q01A,Q02A,Q03A,Q04A,Q05A,Q06C,Q07B,Q08B,Q09C,Q10A,Q11A,Q12A,Q13B,Q14A,Q15A,Q16_14,Q17A,Q18D,Q19C,Q20H,Q21A,Q22E,Q23C,Q24E,Q25H,Q26A
MEDIA,Q01A,Q02D,Q03A,Q04D,Q05B,Q06A,Q07B,Q08B,Q09E,Q10D,Q11A,Q12A,Q13D,Q14A,Q15A,Q16_14,Q17A,Q18D,Q19B,Q20K,Q21B,Q22C,Q23C,Q24E,Q25A,Q26A
MEDIA,Q01A,Q02D,Q03A,Q04A,Q05A,Q06C,Q07C,Q08C,Q09F,Q10E,Q11A,Q12A,Q13A,Q14A,Q15A,Q16_14,Q17A,Q18B,Q19A,Q20G,Q21A,Q22B,Q23C,Q24D,Q25H,Q26A
BAIXA,Q01A,Q02D,Q03A,Q04B,Q05B,Q06B,Q07E,Q08A,Q09F,Q10E,Q11A,Q12A,Q13A,Q14A,Q15F,Q16_21,Q17B,Q18C,Q19B,Q20C,Q21A,Q22B,Q23B,Q24E,Q25A,Q26A
MEDIA,Q01A,Q02D,Q03A,Q04D,Q05D,Q06B,Q07H,Q08C,Q09C,Q10E,Q11H,Q12A,Q13B,Q14A,Q15D,Q16_14,Q17A,Q18A,Q19B,Q20C,Q21B,Q22E,Q23C,Q24E,Q25A,Q26F
MEDIA,Q01A,Q02D,Q03A,Q04E,Q05E,Q06B,Q07E,Q08B,Q09C,Q10B,Q11A,Q12F,Q13F,Q14A,Q15A,Q16_14,Q17A,Q18B,Q19B,Q20B,Q21A,Q22C,Q23B,Q24A,Q25E,Q26F
MEDIA,Q01A,Q02D,Q03A,Q04C,Q05C,Q06A,Q07A,Q08A,Q09C,Q10A,Q11A,Q12E,Q13B,Q14A,Q15E,Q16_13,Q17A,Q18A,Q19B,Q20A,Q21A,Q22E,Q23C,Q24C,Q25H,Q26A
ALTA,Q01A,Q02A,Q03A,Q04D,Q05C,Q06C,Q07C,Q08A,Q09B,Q10A,Q11A,Q12B,Q13F,Q14A,Q15E,Q16_13,Q17A,Q18A,Q19C,Q20G,Q21A,Q22C,Q23D,Q24A,Q25C,Q26A
MEDIA,Q01A,Q02D,Q03A,Q04A,Q05B,Q06B,Q07D,Q08B,Q09F,Q10D,Q11A,Q12F,Q13F,Q14A,Q15A,Q16_14,Q17A,Q18D,Q19F,Q20G,Q21A,Q22C,Q23C,Q24A,Q25A,Q26A
