antecedents,consequents,confidence
frozenset({'Q10A'}),"frozenset({'ALTA', 'Q03A'})",0.9948561630786816
"frozenset({'Q10E', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q10E'}),"frozenset({'ALTA', 'Q03A'})",0.99554162312783
"frozenset({'Q11A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q11A'}),"frozenset({'ALTA', 'Q03A'})",0.995232831283681
"frozenset({'Q11B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q11B'}),"frozenset({'ALTA', 'Q03A'})",0.9929138103674036
"frozenset({'Q12A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q12A'}),"frozenset({'ALTA', 'Q03A'})",0.9945687888979087
frozenset({'Q03A'}),"frozenset({'Q12A', 'ALTA'})",0.89451542807475
"frozenset({'Q13A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q13A'}),"frozenset({'ALTA', 'Q03A'})",0.99459862727544
"frozenset({'Q03A', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q15A'}),"frozenset({'ALTA', 'Q03A'})",0.9944705803661011
"frozenset({'Q17A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q17A'}),"frozenset({'ALTA', 'Q03A'})",0.9950935966748962
"frozenset({'Q17B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),"frozenset({'ALTA', 'Q03A'})",0.9957927470617826
"frozenset({'Q18A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q18A'}),"frozenset({'ALTA', 'Q03A'})",0.9947072801901059
frozenset({'Q03A'}),"frozenset({'ALTA', 'Q18A'})",0.8004345936549326
"frozenset({'Q19B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q19B'}),"frozenset({'ALTA', 'Q03A'})",0.9952946743073445
"frozenset({'Q20A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20A'}),"frozenset({'ALTA', 'Q03A'})",0.9940848289305638
"frozenset({'Q20C', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20C'}),"frozenset({'ALTA', 'Q03A'})",0.9954374664519592
"frozenset({'Q21A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21A'}),"frozenset({'ALTA', 'Q03A'})",0.994559760909664
"frozenset({'Q21B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21B'}),"frozenset({'ALTA', 'Q03A'})",0.9943386172905289
"frozenset({'Q22B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q22B'}),"frozenset({'ALTA', 'Q03A'})",0.9944170415740691
"frozenset({'Q22C', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q22C'}),"frozenset({'ALTA', 'Q03A'})",0.995202911336568
"frozenset({'Q23B', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q23B'}),"frozenset({'ALTA', 'Q03A'})",0.9941960694173084
"frozenset({'Q23C', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q23C'}),"frozenset({'ALTA', 'Q03A'})",0.994417993761287
"frozenset({'Q24A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q24A'}),"frozenset({'ALTA', 'Q03A'})",0.9949645390070921
"frozenset({'Q24E', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q24E'}),"frozenset({'ALTA', 'Q03A'})",0.9942820654224596
"frozenset({'Q25E', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q25E'}),"frozenset({'ALTA', 'Q03A'})",0.994949105490438
"frozenset({'Q03A', 'Q26F'})",frozenset({'ALTA'}),1.0
frozenset({'Q26F'}),"frozenset({'ALTA', 'Q03A'})",0.9956672099216918
"frozenset({'Q12A', 'Q04D'})",frozenset({'ALTA'}),1.0
frozenset({'Q04D'}),"frozenset({'Q12A', 'ALTA'})",0.8905619203491545
"frozenset({'Q04D', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q04D'})",frozenset({'ALTA'}),1.0
frozenset({'Q04D'}),"frozenset({'ALTA', 'Q18A'})",0.8076923076923078
"frozenset({'Q04D', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q04D', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q05D'})",frozenset({'ALTA'}),1.0
frozenset({'Q05D'}),"frozenset({'Q12A', 'ALTA'})",0.8791558407126571
"frozenset({'Q05D', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q05D'})",frozenset({'ALTA'}),1.0
frozenset({'Q05D'}),"frozenset({'ALTA', 'Q18A'})",0.8073068561429556
"frozenset({'Q19B', 'Q05D'})",frozenset({'ALTA'}),1.0
