antecedents,consequents,confidence
"frozenset({'Q12A', 'Q05B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05B'}),"frozenset({'BAIXA', 'Q12A'})",0.9293044469783353
"frozenset({'Q13A', 'Q05B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05B'}),"frozenset({'Q13A', 'BAIXA'})",0.8723679209426073
"frozenset({'Q14A', 'Q05B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05B'}),"frozenset({'Q14A', 'BAIXA'})",0.9872291904218928
"frozenset({'Q15A', 'Q05B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q17A', 'Q05B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05B'}),"frozenset({'BAIXA', 'Q17A'})",0.8985936906119346
"frozenset({'Q18A', 'Q05B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q05B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q05D', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),"frozenset({'BAIXA', 'Q12A'})",0.9240592047982974
"frozenset({'Q05D', 'Q13A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),"frozenset({'Q13A', 'BAIXA'})",0.821708426042372
"frozenset({'Q05D', 'Q14A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),"frozenset({'Q14A', 'BAIXA'})",0.9763954725742477
"frozenset({'Q05D', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),"frozenset({'BAIXA', 'Q15A'})",0.8057463480700396
"frozenset({'Q05D', 'Q18A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),"frozenset({'Q18A', 'BAIXA'})",0.8086485440650092
"frozenset({'Q06B', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),"frozenset({'BAIXA', 'Q12A'})",0.9297749632477665
"frozenset({'Q06B', 'Q13A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),"frozenset({'Q13A', 'BAIXA'})",0.8238154472464096
"frozenset({'Q14A', 'Q06B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),"frozenset({'Q14A', 'BAIXA'})",0.9729164310754268
"frozenset({'Q06B', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),"frozenset({'BAIXA', 'Q15A'})",0.8001243921746014
"frozenset({'Q06B', 'Q17A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q06B', 'Q18A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),"frozenset({'Q18A', 'BAIXA'})",0.8359154133212711
"frozenset({'Q06B', 'Q19B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q06B', 'Q21A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q06B', 'Q23B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q06B', 'Q24E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q12A', 'Q06C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),"frozenset({'BAIXA', 'Q12A'})",0.9488317612970841
"frozenset({'Q13A', 'Q06C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),"frozenset({'Q13A', 'BAIXA'})",0.8941495592133655
"frozenset({'Q14A', 'Q06C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),"frozenset({'Q14A', 'BAIXA'})",0.9882251402502928
"frozenset({'Q15A', 'Q06C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),"frozenset({'BAIXA', 'Q15A'})",0.8016768386659269
"frozenset({'Q17A', 'Q06C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),"frozenset({'BAIXA', 'Q17A'})",0.8458171506072375
"frozenset({'Q18A', 'Q06C'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q21A', 'Q06C'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q06C', 'Q23B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q06C'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q07C', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q07C'}),"frozenset({'BAIXA', 'Q12A'})",0.9389957766306897
"frozenset({'Q14A', 'Q07C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q07C'}),"frozenset({'Q14A', 'BAIXA'})",0.9795870483341154
"frozenset({'Q12A', 'Q07D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q07D'}),"frozenset({'BAIXA', 'Q12A'})",0.9420350291909925
"frozenset({'Q13A', 'Q07D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q07D'}),"frozenset({'Q13A', 'BAIXA'})",0.8593619683069225
"frozenset({'Q14A', 'Q07D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q07D'}),"frozenset({'Q14A', 'BAIXA'})",0.979045037531276
"frozenset({'Q08A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08A'}),"frozenset({'BAIXA', 'Q12A'})",0.892350400987045
"frozenset({'Q13A', 'Q08A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08A'}),"frozenset({'Q13A', 'BAIXA'})",0.834284392350401
"frozenset({'Q14A', 'Q08A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08A'}),"frozenset({'Q14A', 'BAIXA'})",0.9838062924120914
"frozenset({'Q08A', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q08A', 'Q17A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08A'}),"frozenset({'BAIXA', 'Q17A'})",0.8889574336829118
"frozenset({'Q18A', 'Q08A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q08A', 'Q24E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q08B', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08B'}),"frozenset({'BAIXA', 'Q12A'})",0.9291062998534918
"frozenset({'Q13A', 'Q08B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08B'}),"frozenset({'Q13A', 'BAIXA'})",0.8552824352922026
"frozenset({'Q14A', 'Q08B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08B'}),"frozenset({'Q14A', 'BAIXA'})",0.9851049975581964
"frozenset({'Q08B', 'Q15A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q08B', 'Q17A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q08B'}),"frozenset({'BAIXA', 'Q17A'})",0.8298876770307668
"frozenset({'Q18A', 'Q08B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q08B', 'Q24E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q09B', 'Q10A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09B'}),"frozenset({'BAIXA', 'Q10A'})",0.8576819407008086
"frozenset({'Q09B', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09B'}),"frozenset({'BAIXA', 'Q12A'})",0.9124528301886793
"frozenset({'Q14A', 'Q09B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09B'}),"frozenset({'Q14A', 'BAIXA'})",0.9722911051212938
"frozenset({'Q12A', 'Q09C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q09C'}),"frozenset({'BAIXA', 'Q12A'})",0.9374077019198
"frozenset({'Q14A', 'Q09C'})",frozenset({'BAIXA'}),1.0
