CO_UF_CURSO,NT_GER
Acre,39.98
Alagoas,39.79
Amazonas,38.67
Amapá,40.51
Bahia,43.58
Ceará,44.39
Distrito federal,44.65
Espírito Santo,47.41
Goiás,42.43
Maranhão,40.95
Minas gerais,45.7
Mato grosso do sul,40.96
Mato grosso,40.17
Pará,41.42
Paraíba,44.74
Pernambuco,43.3
Piauí,41.4
Paraná,43.53
Rio de janeiro,44.88
Rio Grande do Norte,44.64
Rondônia,40.68
Roraima,38.15
Rio grande do sul,46.92
Santa catarina,42.95
Sergipe,40.66
São Paulo,43.02
Tocantins,38.26
